time,s19
2023-07-24 07:28:54,100.0
2023-07-24 07:28:59,100.0
2023-07-24 07:29:00,100.0
2023-07-24 07:29:01,100.0
2023-07-24 07:29:02,100.0
2023-07-24 07:29:07,100.0
2023-07-24 07:29:08,100.0
2023-07-24 07:29:09,100.0
2023-07-24 07:29:10,100.0
2023-07-24 07:29:15,100.0
2023-07-24 07:29:16,100.0
2023-07-24 07:29:17,100.0
2023-07-24 07:29:18,100.0
2023-07-24 07:31:29,100.0
2023-07-24 07:31:30,100.0
2023-07-24 07:31:31,100.0
2023-07-24 07:31:32,100.0
2023-07-24 07:31:37,100.0
2023-07-24 07:31:38,100.0
2023-07-24 07:31:39,100.0
2023-07-24 07:31:40,100.0
2023-07-24 07:31:45,100.0
2023-07-24 07:31:46,100.0
2023-07-24 07:31:47,100.0
2023-07-24 07:31:48,100.0
2023-07-24 07:31:53,100.0
2023-07-24 07:31:54,100.0
2023-07-24 07:32:03,100.0
2023-07-24 07:32:04,100.0
2023-07-24 07:32:09,100.0
2023-07-24 07:32:10,100.0
2023-07-24 07:32:11,100.0
2023-07-24 07:32:12,100.0
2023-07-24 07:32:17,100.0
2023-07-24 07:32:18,100.0
2023-07-24 07:32:19,100.0
2023-07-24 07:32:20,100.0
2023-07-24 07:32:25,100.0
2023-07-24 07:32:26,100.0
2023-07-24 07:32:27,100.0
2023-07-24 07:32:28,100.0
2023-07-24 07:32:33,100.0
2023-07-24 07:32:34,100.0
2023-07-24 07:32:35,100.0
2023-07-24 07:32:36,100.0
2023-07-24 07:32:41,100.0
2023-07-24 07:32:42,100.0
2023-07-24 07:32:43,100.0
2023-07-24 07:32:44,100.0
2023-07-24 07:32:49,100.0
2023-07-24 07:32:50,100.0
2023-07-24 07:32:51,100.0
2023-07-24 07:32:52,100.0
2023-07-24 07:32:57,100.0
2023-07-24 07:32:58,100.0
2023-07-24 07:33:01,100.0
2023-07-24 07:33:02,100.0
2023-07-24 07:33:07,100.0
2023-07-24 07:33:08,100.0
2023-07-24 07:33:09,100.0
2023-07-24 07:33:10,100.0
2023-07-24 07:33:15,100.0
2023-07-24 07:33:16,100.0
2023-07-24 07:33:17,100.0
2023-07-24 07:33:18,100.0
2023-07-24 07:33:23,100.0
2023-07-24 07:33:24,100.0
2023-07-24 07:33:25,100.0
2023-07-24 07:33:26,100.0
2023-07-24 07:33:31,100.0
2023-07-24 07:33:32,100.0
2023-07-24 07:33:33,100.0
2023-07-24 07:33:34,100.0
2023-07-24 07:33:39,100.0
2023-07-24 07:33:40,100.0
2023-07-24 07:33:41,100.0
2023-07-24 07:33:42,100.0
2023-07-24 07:33:47,100.0
2023-07-24 07:33:48,100.0
2023-07-24 07:33:49,100.0
2023-07-24 07:33:50,100.0
2023-07-24 07:33:55,100.0
2023-07-24 07:33:56,100.0
2023-07-24 07:33:57,100.0
2023-07-24 07:33:58,100.0
2023-07-24 07:34:05,100.0
2023-07-24 07:34:06,100.0
2023-07-24 07:34:07,100.0
2023-07-24 07:34:08,100.0
2023-07-24 07:34:15,100.0
2023-07-24 07:34:16,100.0
2023-07-24 07:34:23,100.0
2023-07-24 07:34:24,100.0
2023-07-24 07:34:29,100.0
2023-07-24 07:34:30,100.0
2023-07-24 07:34:31,100.0
2023-07-24 07:34:32,100.0
2023-07-24 07:34:37,100.0
2023-07-24 07:34:38,100.0
2023-07-24 07:34:39,100.0
2023-07-24 07:34:40,100.0
2023-07-24 07:34:45,100.0
2023-07-24 07:34:46,100.0
2023-07-24 07:34:47,100.0
2023-07-24 07:34:48,100.0
2023-07-24 07:34:53,100.0
2023-07-24 07:34:54,100.0
2023-07-24 07:34:55,100.0
2023-07-24 07:34:56,100.0
2023-07-24 07:35:01,100.0
2023-07-24 07:35:02,100.0
2023-07-24 07:35:03,100.0
2023-07-24 07:35:04,100.0
2023-07-24 07:35:09,100.0
2023-07-24 07:35:10,100.0
2023-07-24 07:35:11,100.0
2023-07-24 07:35:12,100.0
2023-07-24 07:35:17,100.0
2023-07-24 07:35:18,100.0
2023-07-24 07:35:19,100.0
2023-07-24 07:35:20,100.0
2023-07-24 07:35:25,100.0
2023-07-24 07:35:26,100.0
2023-07-24 07:35:27,100.0
2023-07-24 07:35:28,100.0
2023-07-24 07:35:33,100.0
2023-07-24 07:35:34,100.0
2023-07-24 07:35:35,100.0
2023-07-24 07:35:36,100.0
2023-07-24 07:35:41,100.0
2023-07-24 07:35:42,100.0
2023-07-24 07:35:43,100.0
2023-07-24 07:35:44,100.0
2023-07-24 07:35:49,100.0
2023-07-24 07:35:50,100.0
2023-07-24 07:35:51,100.0
2023-07-24 07:35:52,100.0
2023-07-24 07:35:57,100.0
2023-07-24 07:35:58,100.0
